k,Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7
1,57.5,30,42.5,67.5,57.5,57.5,60
2,60,30,55,57.5,60,60,70
3,45,40,57.5,55,45,45,50
4,52.5,40,57.5,57.5,52.5,52.5,50
5,45,60,52.5,57.5,45,45,50
6,52.5,50,55,55,52.5,52.5,50
7,47.5,50,47.5,62.5,47.5,47.5,60
8,55,50,55,60,55,55,40
9,52.5,40,60,67.5,52.5,52.5,40
10,52.5,50,62.5,60,52.5,52.5,50
11,45,50,55,62.5,45,45,40
12,57.5,50,62.5,62.5,57.5,57.5,40
13,47.5,60,62.5,62.5,47.5,47.5,50
14,47.5,40,62.5,60,47.5,47.5,50
15,47.5,40,62.5,65,47.5,47.5,60
16,60,50,65,65,60,60,60
17,57.5,50,65,65,57.5,57.5,60
18,55,70,60,67.5,55,55,80
19,52.5,70,60,62.5,52.5,52.5,70
20,57.5,70,62.5,60,57.5,57.5,70
21,52.5,60,62.5,60,52.5,52.5,40
22,52.5,70,65,65,52.5,52.5,50
23,55,50,57.5,60,55,55,50
24,57.5,70,60,62.5,57.5,57.5,60
25,57.5,80,57.5,62.5,57.5,57.5,50
26,55,70,52.5,57.5,55,55,60
27,55,80,55,57.5,55,55,50
28,55,60,57.5,57.5,55,55,50
29,50,60,55,55,50,50,50
30,50,60,55,52.5,50,50,50
31,45,60,57.5,52.5,45,45,50
32,50,60,55,52.5,50,50,60
33,45,50,55,55,45,45,60
34,50,50,57.5,60,50,50,50
35,52.5,50,55,55,52.5,52.5,60
36,60,50,62.5,60,60,60,50
37,57.5,50,60,60,57.5,57.5,40
38,60,60,60,62.5,60,60,40
39,57.5,60,57.5,60,57.5,57.5,40
40,65,50,60,60,65,65,40
41,62.5,40,60,62.5,62.5,62.5,40
42,60,40,57.5,57.5,60,60,50
43,60,40,55,62.5,60,60,40
44,60,40,60,65,60,60,40
45,62.5,40,60,65,62.5,62.5,40
46,62.5,50,62.5,65,62.5,62.5,50
47,62.5,40,57.5,60,62.5,62.5,40
48,62.5,50,57.5,70,62.5,62.5,60
49,62.5,50,60,65,62.5,62.5,50
50,62.5,50,60,60,62.5,62.5,60
